CODMUN;municipio;UF;CODREG;CODPRE;prestadora;Sigla;Abrangencia;Natureza;servico;IN003;IN026;IN027;IN004;IN005;IN006;IN012;IN029;IN007;IN008;IN030;IN031;IN032;IN033;IN034;IN035;IN036;IN037;IN038;IN039;IN040;IN041;IN042;IN054;IN018;IN019;IN102;IN048;IN002;IN045;IN101;IN060;IN055;IN023;IN001;IN043;IN011;IN009;IN010;IN044;IN057;IN052;IN025;IN053;IN014;IN017;IN022;IN058;IN020;IN028;IN013;IN049;IN050;IN051;IN056;IN024;IN047;IN015;IN016;IN046;IN021;IN059;IN071;IN072;IN073;IN074;IN077;IN082;IN083;IN079;IN075;IN080;IN076;IN085;IN084;IN061;IN062;IN063;IN064;IN068;IN065;IN069;IN066;IN067
220005;Acauã;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,86;3,07;395,30;2,74;2,74;;70,85;-1,84;69,88;78.194,14;112,27;44,78;98,64;0,00;0,00;39,88;87,85;6,09;0,43;0,00;97,04;;2,96;46,63;2,20;225,16;221,53;2,05;496,00;2,05;75,48;0,58;22,54;97,52;1,02;89,11;0,00;99,28;52,82;86,80;0,00;60,85;13,20;7,71;6,74;10,73;101,76;0,26;6,82;84,63;15,37;39,15;20,26;165,84;;;;;;;;;;;;;;;;5,83;0,00;5,83;28,57;5,83;57,14;;;;;;;;;
220010;Agricolândia;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,04;3,12;464,98;2,55;2,55;;63,15;-6,11;53,30;155.900,18;122,57;65,39;84,40;0,00;0,00;53,35;68,86;24,10;1,35;0,00;89,49;;10,51;226,29;2,58;486,91;481,68;1,61;628,50;1,61;78,20;0,48;77,67;97,49;1,01;94,91;52,81;96,54;73,92;90,55;0,00;81,63;12,76;10,42;9,80;12,40;115,04;1,54;12,10;97,19;2,81;18,37;4,58;77,88;;;;;;;;;;;;;;;;121,67;0,00;121,67;0,00;121,67;0,00;;;;;;;;;
220020;Água Branca;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,67;1,83;268,58;2,75;2,75;;102,94;3,36;43,95;112.254,47;66,63;33,88;42,70;0,00;0,00;50,86;64,08;25,02;1,17;0,00;96,11;;3,89;209,53;7,56;652,25;636,84;1,25;821,83;1,25;107,35;0,46;94,14;97,50;1,02;93,59;19,17;96,89;51,00;87,20;0,00;58,48;17,15;10,03;9,05;12,21;105,02;0,71;3,48;71,15;28,85;41,52;56,78;239,84;;;;;;;;;;;;;;;;255,00;0,00;255,00;0,00;255,00;7,19;;;;;;;;;
220025;Alagoinha do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,65;1,91;241,29;2,31;2,31;;87,00;-0,89;39,89;62.752,80;83,00;38,17;45,85;0,00;0,00;45,99;55,24;36,54;0,31;0,00;93,37;;6,63;139,87;2,40;470,82;468,73;1,78;565,50;1,78;97,50;0,49;44,21;97,51;1,00;96,64;0,00;81,04;21,34;40,05;0,00;53,27;14,64;7,80;3,85;10,50;96,97;1,03;3,59;71,74;28,26;46,73;50,19;225,97;;;;;;;;;;;;;;;;0,00;;0,00;;0,00;;;;;;;;;;
220030;Alto Longá;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,43;1,51;227,74;2,97;2,97;;121,95;3,12;31,91;92.647,38;50,85;14,21;26,16;0,00;0,00;27,95;51,45;31,81;3,99;0,00;94,31;;5,69;139,77;1,84;790,66;785,77;0,69;1.455,50;0,69;131,01;0,62;31,76;64,56;1,01;91,31;0,00;100,00;60,93;98,61;0,00;61,78;16,64;10,28;10,14;12,58;111,46;0,59;7,16;75,61;24,39;38,22;20,97;210,31;;;;;;;;;;;;;;;;120,00;0,00;120,00;0,00;120,00;2,78;;;;;;;;;
220040;Altos;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;2,58;1,80;257,04;2,53;2,64;1,39;97,90;6,10;39,68;111.312,66;71,05;28,53;40,53;0,00;0,00;40,15;57,04;32,48;1,31;0,00;90,47;4,61;4,92;204,38;8,52;759,20;748,52;0,94;1.078,50;1,04;100,38;0,53;53,66;76,06;1,01;94,10;24,82;93,91;40,61;74,93;0,00;54,20;18,24;9,89;7,89;11,97;93,86;0,78;3,61;65,62;34,38;45,80;59,03;278,71;5,51;7,82;7,82;8,23;100,00;8,23;17,13;0,27;;;;;;0,00;;180,00;0,93;180,00;0,93;180,00;3,70;;;;;;;;;
220050;Amarante;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,15;1,25;197,08;3,03;3,03;;141,15;12,38;33,16;98.999,81;41,40;19,14;23,49;0,00;0,00;46,23;56,74;25,54;2,18;0,00;96,68;;3,32;240,35;3,68;885,27;856,62;0,95;1.086,67;0,95;132,73;0,46;59,73;97,50;1,03;91,87;100,00;93,22;43,26;74,06;0,00;58,41;19,01;11,11;8,82;13,09;125,21;0,48;6,20;68,83;31,17;41,59;36,47;268,63;;;;;;;;;;;;;;;;165,00;0,00;165,00;0,00;165,00;2,02;;;;;;;;;
220060;Angical do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,76;2,89;389,22;2,68;2,68;;71,17;-1,70;59,28;100.239,23;107,74;70,87;83,30;0,00;0,00;65,78;77,32;16,05;0,64;0,00;94,33;;5,67;124,30;4,70;333,09;328,83;2,59;391,50;2,59;79,70;0,60;71,89;91,99;1,01;94,70;0,00;96,96;40,07;78,18;0,00;51,26;16,44;8,43;6,80;11,24;92,01;0,53;10,95;68,36;31,64;48,74;16,24;266,92;;;;;;;;;;;;;;;;126,67;0,00;126,67;1,32;126,67;2,63;;;;;;;;;
220070;Anísio de Abreu;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,76;3,01;401,29;2,29;2,29;;60,96;8,29;42,35;139.609,34;131,09;24,30;69,47;0,00;0,00;18,54;52,99;31,32;10,81;0,00;95,63;;4,37;263,68;2,86;656,50;650,73;0,54;1.877,00;0,54;60,59;0,50;63,42;97,49;1,01;94,41;0,00;99,81;23,38;41,19;0,00;56,76;15,38;8,73;3,60;11,12;101,23;1,35;5,78;72,27;27,73;43,24;27,70;220,65;;;;;;;;;;;;;;;;27,50;0,00;27,50;36,36;27,50;3,03;;;;;;;;;
220080;Antônio Almeida;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,87;1,98;305,72;2,69;2,69;;93,94;-4,90;43,70;79.104,54;73,40;45,22;46,52;0,00;0,00;61,61;63,38;27,34;0,32;0,00;93,89;;6,11;92,98;2,06;408,26;405,83;2,40;420,00;2,40;110,54;0,50;95,58;97,49;1,01;94,70;0,00;89,40;49,91;80,75;0,00;61,80;18,06;11,16;10,12;12,88;119,00;0,78;15,74;71,31;28,69;38,20;11,32;228,20;;;;;;;;;;;;;;;;30,00;0,00;30,00;0,00;30,00;5,56;;;;;;;;;
